ACCOUNT NUMBER,DATE,DESCRIPTION,debit_clean,credit_clean,balance_clean,Amount,Z_score,LeadingDigit,Rounded,Precision,Mean,Median,StdDev,K_means Cluster,Cluster Label,Weekend,Holiday,EvenDollar
,2024-06-02,Work  Deliveroo,15.96,,2514.18,15.96,-0.21,1,False,0.9600000000000009,23.77,14.99,37.58,0,Low,True,False,False
,2024-06-02, Work  Deliveroo,16.99,,2531.17,16.99,-0.18,1,False,0.9899999999999984,23.77,14.99,37.58,0,Low,True,False,False
,2024-06-03,Work  Deliveroo,12.94,,2544.11,12.94,-0.29,1,False,0.9399999999999995,23.77,14.99,37.58,0,Low,False,False,False
,2024-06-03,Work  Istu,6.75,,2550.86,6.75,-0.45,6,False,0.75,23.77,14.99,37.58,0,Low,False,False,False
,2024-06-04,Work  Deliveroo,20.52,,2571.38,20.52,-0.09,2,False,0.5199999999999996,23.77,14.99,37.58,0,Low,False,False,False
,2024-06-05,Work  Deliveroo,10.48,,2581.86,10.48,-0.35,1,False,0.4800000000000004,23.77,14.99,37.58,0,Low,False,False,False
,2024-06-07,Work  Deliveroo,12.42,,2594.28,12.42,-0.3,1,False,0.41999999999999993,23.77,14.99,37.58,0,Low,False,False,False
,2024-06-08,Work Deliveroo,51.95,,2646.23,51.95,0.75,5,False,0.9500000000000028,23.77,14.99,37.58,0,Low,True,False,False
,2024-06-09,Work Lunch Deliveroo,14.15,,2660.38,14.15,-0.26,1,False,0.15000000000000036,23.77,14.99,37.58,0,Low,True,False,False
,2024-06-12,Work Lunch Deliveroo,10.95,,2671.33,10.95,-0.34,1,False,0.9499999999999993,23.77,14.99,37.58,0,Low,False,False,False
,2024-06-12,Work Lunch Deliveroo,11.29,,2682.62,11.29,-0.33,1,False,0.28999999999999915,23.77,14.99,37.58,0,Low,False,False,False
,2024-06-13,Work Lunch Deliveroo,10.52,,2693.14,10.52,-0.35,1,False,0.5199999999999996,23.77,14.99,37.58,0,Low,False,False,False
,2024-06-14,Work Lunch Deliveroo,15.73,,2708.87,15.73,-0.21,1,False,0.7300000000000004,23.77,14.99,37.58,0,Low,False,False,False
,2024-06-15,Work Lunch Deliveroo,16.24,,2725.11,16.24,-0.2,1,False,0.23999999999999844,23.77,14.99,37.58,0,Low,True,False,False
,2024-06-17,Work Lunch Deliveroo,17.15,,2742.26,17.15,-0.18,1,False,0.14999999999999858,23.77,14.99,37.58,0,Low,False,False,False
,2024-06-21,Work Lunch Deliveroo,13.12,,2755.38,13.12,-0.28,1,False,0.11999999999999922,23.77,14.99,37.58,0,Low,False,False,False
