ACCOUNT NUMBER,DATE,DESCRIPTION,debit_clean,credit_clean,balance_clean,Amount,Z_score,LeadingDigit,Rounded,Precision,Mean,Median,StdDev,K_means Cluster,Cluster Label,Weekend,Holiday,EvenDollar
,2024-11-27,Itsu,8.94,,5627.83,8.94,-0.4,8,False,0.9399999999999995,23.77,14.99,37.58,0,Low,False,False,False
,2024-11-28,Itsu,2.94,,5630.77,2.94,-0.56,2,False,0.94,23.77,14.99,37.58,0,Low,False,False,False
,2024-11-28,Coffee,3.95,,5634.72,3.95,-0.53,3,False,0.9500000000000002,23.77,14.99,37.58,0,Low,False,False,False
,2024-11-30,Deliveroo,2.97,,5637.69,2.97,-0.55,2,False,0.9700000000000002,23.77,14.99,37.58,0,Low,True,False,False
,2024-11-30,UberEats,11.17,,5648.86,11.17,-0.34,1,False,0.16999999999999993,23.77,14.99,37.58,0,Low,True,False,False
,2024-12-01,Venchi,10.0,,5658.86,10.0,-0.37,1,True,0.0,23.77,14.99,37.58,0,Low,True,False,False
,2024-12-02,Paul,3.0,,5661.86,3.0,-0.55,3,True,0.0,23.77,14.99,37.58,0,Low,False,False,False
,2024-12-03,Bleecker -  Invite Client,26.55,,5688.41,26.55,0.07,2,False,0.5500000000000007,23.77,14.99,37.58,0,Low,False,False,False
,2024-12-03,Itsu,9.9,,5698.31,9.9,-0.37,9,False,0.9000000000000004,23.77,14.99,37.58,0,Low,False,False,False
,2024-12-03,Vita -  Invite Client,18.6,,5716.91,18.6,-0.14,1,False,0.6000000000000014,23.77,14.99,37.58,0,Low,False,False,False
,2024-12-05,Deliveroo,24.31,,5741.22,24.31,0.01,2,False,0.3099999999999987,23.77,14.99,37.58,0,Low,False,False,False
,2024-12-06,Deliveroo,20.64,,5761.86,20.64,-0.08,2,False,0.6400000000000006,23.77,14.99,37.58,0,Low,False,False,False
,2024-12-06,SnS -  Invite Client,31.39,,5793.25,31.39,0.2,3,False,0.39000000000000057,23.77,14.99,37.58,0,Low,False,False,False
,2024-12-08,Pret,7.3,,5800.55,7.3,-0.44,7,False,0.2999999999999998,23.77,14.99,37.58,0,Low,True,False,False
,2024-12-12,Deliveroo,13.99,,5814.54,13.99,-0.26,1,False,0.9900000000000002,23.77,14.99,37.58,0,Low,False,False,False
,2024-12-13,Deliveroo,16.71,,5831.25,16.71,-0.19,1,False,0.7100000000000009,23.77,14.99,37.58,0,Low,False,False,False
,2024-12-13,Deliveroo,16.19,,5847.44,16.19,-0.2,1,False,0.19000000000000128,23.77,14.99,37.58,0,Low,False,False,False
,2024-12-14,SnS -  Invite Client,77.89,,5925.33,77.89,1.44,7,False,0.8900000000000006,23.77,14.99,37.58,1,Medium,True,False,False
,2024-12-16,Itsu,9.9,,5935.23,9.9,-0.37,9,False,0.9000000000000004,23.77,14.99,37.58,0,Low,False,False,False
,2024-12-16,Lunch,21.34,,5956.57,21.34,-0.06,2,False,0.33999999999999986,23.77,14.99,37.58,0,Low,False,False,False
,2024-12-16,Deliveroo,14.99,,5971.56,14.99,-0.23,1,False,0.9900000000000002,23.77,14.99,37.58,0,Low,False,False,False
,2024-12-17,Deliveroo,16.49,,5988.05,16.49,-0.19,1,False,0.48999999999999844,23.77,14.99,37.58,0,Low,False,False,False
,2024-12-19,Deliveroo,10.7,,5998.75,10.7,-0.35,1,False,0.6999999999999993,23.77,14.99,37.58,0,Low,False,False,False
,2024-12-20,Deliveroo,20.14,,6018.89,20.14,-0.1,2,False,0.14000000000000057,23.77,14.99,37.58,0,Low,False,False,False
,2024-12-22,Deliveroo,26.49,,6045.38,26.49,0.07,2,False,0.48999999999999844,23.77,14.99,37.58,0,Low,True,False,False
,2024-12-28,Deliveroo,23.52,,6068.9,23.52,-0.01,2,False,0.5199999999999996,23.77,14.99,37.58,0,Low,True,False,False
,2024-12-28,Deliveroo,18.45,,6087.35,18.45,-0.14,1,False,0.4499999999999993,23.77,14.99,37.58,0,Low,True,False,False
,2024-12-29,Deliveroo,13.34,,6100.69,13.34,-0.28,1,False,0.33999999999999986,23.77,14.99,37.58,0,Low,True,False,False
,2024-12-30,Itsu,9.9,,6110.59,9.9,-0.37,9,False,0.9000000000000004,23.77,14.99,37.58,0,Low,False,False,False
