DATE,DESCRIPTION,AMOUNT,Anomaly Flags,Is High Risk?,Is selected for Sampling
2024-09-01,Deliveroo,15.58,Weekend,TRUE,FALSE
2024-09-04,Lunch at Deliveroo,14.95,,FALSE,FALSE
2024-09-05,Lunch at Deliveroo,15.39,,FALSE,FALSE
2024-09-06,Lunch at Itsu,6.75,,FALSE,FALSE
2024-09-06,Lunch at UberEats,16.43,,FALSE,FALSE
2024-09-07,Lunch at Itsu,8.15,Weekend,TRUE,FALSE
2024-09-09,Lunch at Itsu,6.25,,FALSE,FALSE
2024-09-11,Lunch at Itsu,6.75,,FALSE,FALSE
2024-09-11,Lunch at Itsu,6.75,,FALSE,FALSE
2024-09-11,Breakfast Deliveoo,14.53,,FALSE,FALSE
2024-09-12,Lunch Deliveoo,42.49,,FALSE,FALSE
2024-09-13,Lunch Deliveoo,19.82,,FALSE,FALSE
2024-09-14,Lunch Itsu,6.25,Weekend,TRUE,FALSE
2024-09-15,Business Meal for Podcast,108.57,Weekend Z_score above threshold,TRUE,TRUE
2024-09-15,Ladure snack,3.50,Weekend,TRUE,FALSE
2024-09-17,Lunch Itsu,6.25,,FALSE,FALSE
2024-09-17,Breakfast Deliveroo,16.55,,FALSE,FALSE
2024-09-20,Lunch Itsu,13.50,,FALSE,FALSE
2024-09-21,Soho House Invite,50.00,Rounded True,TRUE,FALSE
2024-09-23,Joe & Juice,8.00,Rounded True,TRUE,FALSE
2024-09-23,Itsu,6.75,,FALSE,FALSE
2024-09-23,Deliveroo,34.99,,FALSE,FALSE
2024-09-24,Deliveroo,10.62,,FALSE,FALSE
2024-09-25,Lunch Itsu,8.15,,FALSE,FALSE
2024-09-27,Lunch Itsu,8.15,,FALSE,FALSE
2024-09-27,Deliveroo,17.80,,FALSE,FALSE
2024-10-02,Lunch Itsu,8.15,,FALSE,FALSE
2024-10-03,Deliveroo,32.09,,FALSE,FALSE
2024-10-03,Lunch at Selfridges,24.99,,FALSE,FALSE
2024-10-04,Deliveroo,31.88,,FALSE,FALSE
2024-10-05,Deliveroo,13.97,Weekend,TRUE,FALSE
2024-10-07,Lunch at Itsu,6.75,,FALSE,FALSE
2024-10-09,Lunch at Waitrose,5.80,,FALSE,FALSE
2024-10-09,Deliveroo breakfast,32.46,,FALSE,FALSE
2024-10-10,Lunch at Itsu,17.49,,FALSE,FALSE
2024-10-10,Paul breakfast,4.25,,FALSE,FALSE
2024-10-11,Paul breakfast,3.00,Rounded True,TRUE,FALSE
2024-10-11,Harrods Lunch,13.00,Rounded True,TRUE,FALSE
2024-10-11,Inviting Podcast Guest (5 Guys),71.00,Rounded True,TRUE,FALSE
2024-10-12,French bakery breakfast inviting Alex,13.95,Weekend,TRUE,FALSE
2024-10-15,Itsu,6.75,,FALSE,FALSE
2024-10-18,Itsu - Paul (Breakfast Lunch),9.35,,FALSE,FALSE
2024-10-19,Meraki Podcast Guest,75.00,Rounded True Weekend,TRUE,FALSE
2024-10-19,Deliveroo Breakfast,2.09,Weekend,TRUE,FALSE
2024-10-21,Deliveroo Lunch,14.49,,FALSE,FALSE
2024-10-23,Deliveroo Lunch,20.96,,FALSE,FALSE
2024-10-24,Itsu lunch,6.75,,FALSE,FALSE
2024-10-25,Deliveroo Lunch,22.52,,FALSE,FALSE
2024-10-26,Deliveroo breakfast,13.14,Weekend,TRUE,FALSE
2024-10-26,Deliveroo Lunch,16.49,Weekend,TRUE,FALSE
2024-10-27,Deliveroo breakfast,9.94,Weekend,TRUE,FALSE
2024-11-01,Coffee - Roasting Party,3.30,,FALSE,FALSE
2024-11-01,Deliveroo breakfast,16.55,,FALSE,FALSE
2024-11-01,Deliveroo lunch,41.49,,FALSE,FALSE
2024-11-02,The Orange,24.23,Weekend,TRUE,FALSE
2024-11-03,Paul,2.60,Weekend,TRUE,FALSE
2024-11-03,Knoops,5.60,Weekend,TRUE,FALSE
2024-11-07,Paul,2.60,,FALSE,FALSE
2024-11-07,Deliveroo x 2,32.43,,FALSE,FALSE
2024-11-08,Paul,3.00,Rounded True,TRUE,FALSE
2024-11-08,Deliveroo,44.04,,FALSE,FALSE
2024-11-08,Meraki Guest Invite,162.00,Z_score above threshold Rounded True,TRUE,TRUE
2024-11-09,Vita Coffee Shop,21.90,Weekend,TRUE,FALSE
2024-11-10,Itsu lunch,2.95,Weekend,TRUE,FALSE
2024-11-10,Gordon Ramsey,14.33,Weekend,TRUE,FALSE
2024-11-11,Deliveroo,45.93,,FALSE,FALSE
2024-11-12,Paul,3.95,,FALSE,FALSE
2024-11-12,Deliveroo,44.84,,FALSE,FALSE
2024-11-14,Paul,4.25,,FALSE,FALSE
2024-11-14,Itsu lunch,6.95,,FALSE,FALSE
2024-11-15,Uber Eats,35.93,,FALSE,FALSE
2024-11-15,Itsu lunch,6.75,,FALSE,FALSE
2024-11-16,Ronis Bakery lunch,20.50,Weekend,TRUE,FALSE
2024-11-17,Laduree,6.70,Weekend,TRUE,FALSE
2024-11-18,Paul,3.95,,FALSE,FALSE
2024-11-20,Vita Coffee,4.90,,FALSE,FALSE
2024-11-20,Deliveroo,5.32,,FALSE,FALSE
2024-11-20,Blank Street Coffee,12.60,,FALSE,FALSE
2024-11-20,Partridges,5.98,,FALSE,FALSE
